n_input,enc_with_tests_s,enc_no_tests_s,dec_with_tests_s,dec_no_tests_s
100,0.01374160000000002,0.013842199999999971,0.011879799999999996,0.0005064999999999653
1000,0.0952922,0.11546790000000001,0.06332550000000003,0.00295639999999997
2000,0.23688739999999997,0.26490729999999996,0.19334380000000007,0.007172299999999909
3000,0.3463805000000002,0.22399570000000013,0.20176700000000003,0.02096739999999997
4000,0.36202270000000025,0.2914253000000002,0.22350190000000003,0.012862199999999824
5000,0.5047892999999997,0.43178360000000016,0.40776659999999953,0.020311999999999664
6000,0.7933085000000002,0.7151719999999999,0.4853947999999999,0.018072499999999714
7000,0.7085167000000006,0.7330634000000007,0.6043292000000005,0.023888899999999325
8000,1.068504299999999,0.8267103999999996,0.6143959999999993,0.02495069999999977
9000,0.756215000000001,0.6353515999999999,0.5211979000000007,0.04074169999999988
10000,0.9200151999999999,1.1714418000000002,0.9432586999999995,0.07688339999999805
